Date,GOOGL,AMZN,META,MSFT,AAPL
2022-01-03,144.63336181640625,170.4044952392578,337.5237731933594,326.94085693359375,179.27359008789062
2022-01-04,144.04283142089844,167.52200317382812,335.519775390625,321.3347473144531,176.9983367919922
2022-01-05,137.43467712402344,164.35699462890625,323.1968994140625,308.9993896484375,172.2902069091797
2022-01-06,137.40725708007812,163.25399780273438,331.46197509765625,306.5577087402344,169.41409301757812
2022-01-07,136.67855834960938,162.5540008544922,330.79400634765625,306.7139587402344,169.58154296875
2022-01-10,138.3269805908203,161.48599243164062,327.0851745605469,306.9385681152344,169.6012420654297
2022-01-11,139.39083862304688,165.36199951171875,333.36627197265625,307.632080078125,172.44778442382812
2022-01-12,141.08114624023438,165.20700073242188,332.25958251953125,310.84527587890625,172.89102172851562
2022-01-13,138.24468994140625,161.21400451660156,325.4999694824219,297.68951416015625,169.6012420654297
2022-01-14,139.13597106933594,162.13800048828125,330.9036865234375,302.9635925292969,170.46803283691406
2022-01-18,135.66207885742188,158.91749572753906,317.1949768066406,295.58966064453125,167.24720764160156
2022-01-19,134.7827606201172,156.2989959716797,318.6306457519531,296.2537841796875,163.7308349609375
2022-01-20,132.9782257080078,151.66749572753906,315.6097106933594,294.56414794921875,162.0366973876953
2022-01-21,130.02952575683594,142.64300537109375,302.2599182128906,289.1241149902344,159.96827697753906
2022-01-24,130.4809112548828,144.54400634765625,307.78326416015625,289.4562072753906,159.1901397705078
2022-01-25,126.6214599609375,139.98599243164062,299.2489929199219,281.75994873046875,157.37783813476562
2022-01-26,128.91378784179688,138.87249755859375,293.7455749511719,289.7882385253906,157.2891845703125
2022-01-27,128.6863555908203,139.6374969482422,293.75555419921875,292.8452453613281,156.82626342773438
2022-01-28,133.0216064453125,143.97799682617188,300.8043212890625,301.06884765625,167.76919555664062
2022-01-31,134.96929931640625,149.57350158691406,312.3196105957031,303.725341796875,172.15231323242188
2022-02-01,137.30401611328125,151.19349670410156,318.04241943359375,301.55718994140625,171.98486328125
2022-02-02,147.63442993164062,150.6125030517578,322.0304260253906,306.1474609375,173.19635009765625
2022-02-03,142.73655700683594,138.8455047607422,237.04627990722656,294.2223205566406,170.30056762695312
2022-02-04,142.93907165527344,157.63949584960938,236.3782958984375,298.80291748046875,170.0146026611328
2022-02-07,138.857177734375,157.9355010986328,224.23486328125,293.9293212890625,169.29461669921875
2022-02-08,139.05467224121094,161.4134979248047,219.51904296875,297.4551086425781,172.4209747314453
2022-02-09,141.24224853515625,161.1894989013672,231.30355834960938,303.95001220703125,173.85098266601562
2022-02-10,138.27760314941406,159.0034942626953,227.38539123535156,295.325927734375,169.74830627441406
2022-02-11,133.95082092285156,153.2935028076172,218.89093017578125,288.1572265625,166.31626892089844
2022-02-14,135.1912384033203,155.16700744628906,217.0465087890625,288.1181335449219,166.5529327392578
2022-02-15,136.2710723876953,156.510498046875,220.3365936279297,293.4605407714844,170.40904235839844
2022-02-16,137.3977813720703,158.10049438476562,215.8899688720703,293.11798095703125,170.17234802246094
2022-02-17,132.21160888671875,154.65249633789062,207.08648681640625,284.534912109375,166.5529327392578
2022-02-18,130.08090209960938,152.60150146484375,205.54115295410156,281.7944641113281,164.9947052001953
2022-02-22,129.49285888671875,150.19749450683594,201.473388671875,281.5889892578125,162.05581665039062
2022-02-23,127.2728500366211,144.82699584960938,197.85427856445312,274.2977294921875,157.86434936523438
2022-02-24,132.3632354736328,151.35800170898438,206.97682189941406,288.3125915527344,160.49752807617188
2022-02-25,134.12738037109375,153.7884979248047,209.84815979003906,290.9747009277344,162.5784912109375
2022-02-28,134.72340393066406,153.56300354003906,210.39651489257812,292.4231262207031,162.84474182128906
2022-03-01,133.7303466796875,151.14199829101562,202.879150390625,288.6649169921875,160.9512176513672
2022-03-02,134.23910522460938,152.05250549316406,207.48529052734375,293.79327392578125,164.26490783691406
2022-03-03,133.56875610351562,147.89849853515625,202.3607177734375,289.6142578125,163.93943786621094
2022-03-04,131.58067321777344,145.64100646972656,199.45944213867188,283.6833801269531,160.92161560058594
2022-03-07,126.06634521484375,137.4530029296875,186.90724182128906,272.96673583984375,157.1049346923828
2022-03-08,126.7905502319336,136.01449584960938,189.71876525878906,269.9719543457031,155.2705841064453
2022-03-09,133.09043884277344,139.2790069580078,197.90414428710938,282.35235595703125,160.70465087890625
2022-03-10,132.10240173339844,146.8175048828125,194.6240234375,279.50433349609375,156.335693359375
2022-03-11,129.54971313476562,145.52450561523438,187.0468292236328,274.10198974609375,152.59791564941406
2022-03-14,125.639892578125,141.85299682617188,186.06976318359375,270.54937744140625,148.54454040527344
2022-03-15,128.8788604736328,147.3665008544922,191.45355224609375,281.0310974121094,152.9529266357422
2022-03-16,132.9512939453125,153.10400390625,203.01873779296875,288.11688232421875,157.3909149169922
2022-03-17,133.5084228515625,157.23899841308594,207.21609497070312,288.9291687011719,158.40676879882812
2022-03-18,135.7892608642578,161.25050354003906,215.8401336669922,294.0281677246094,161.720458984375
2022-03-21,135.76531982421875,161.4915008544922,210.85513305664062,292.7852783203125,163.10118103027344
2022-03-22,139.52252197265625,164.88900756835938,215.99964904785156,297.580810546875,166.49378967285156
2022-03-23,137.9339599609375,163.4080047607422,212.81922912597656,293.108154296875,167.86463928222656
2022-03-24,141.22232055664062,163.64950561523438,218.910888671875,297.61993408203125,171.6714324951172
2022-03-25,141.32305908203125,164.77349853515625,221.15414428710938,297.2088623046875,172.31246948242188
2022-03-28,141.10610961914062,168.99049377441406,222.91880798339844,304.079345703125,173.1803741455078
