time,BTC,BTC_diff,BTC_EMA12,BTC_EMA26,ETH,ETH_diff,ETH_EMA12,ETH_EMA26,USDT,USDT_diff,USDT_EMA12,USDT_EMA26,BNB,BNB_diff,BNB_EMA12,BNB_EMA26,USDC,USDC_diff,USDC_EMA12,USDC_EMA26
2022-01-11,42743.03,910.4400000000023,43873.11417766699,46096.591086624125,3240.32,156.64000000000033,3402.8153729895575,3637.1883303849872,1.001,0.0009999999999998899,1.000138729050921,1.0002125616838895,463.38,38.35000000000002,471.75766639871955,500.61187346537133,1.0,0.0,0.9998900230143449,0.9999145939546437
2022-01-12,43919.67,1176.6399999999994,43880.27661187207,45935.33767280012,3373.03,132.71000000000004,3398.233007914241,3617.621046652766,1.0,-0.0009999999999998899,1.00011738612001,1.0001968163739718,487.51,24.129999999999995,474.1811023373781,499.64136431978824,1.0,0.0,0.9999069425505995,0.9999209203283738
2022-01-13,42575.61,-1344.0599999999977,43679.558671584055,45686.468956296405,3242.26,-130.76999999999998,3374.2371605428193,3589.816524678487,1.0,0.0,1.0000993267169316,1.0001822373833074,475.57,-11.939999999999998,474.3947789008584,497.8583002961002,1.0,0.0,0.9999212590812765,0.9999267780818275
2022-01-14,43089.83,514.2200000000012,43588.83118364805,45494.125329904076,3309.66,67.39999999999964,3364.302212767001,3569.0641895171175,1.001,0.0009999999999998899,1.0002378918374035,1.0002428123919513,490.36,14.79000000000002,476.8509667622648,497.3028706445372,1.0,0.0,0.9999333730687724,0.9999322019276181
2022-01-15,43088.74,-1.0900000000037835,43511.89407847143,45315.94863880007,3328.63,18.970000000000255,3358.814180033616,3551.2542495528864,1.0,-0.0009999999999998899,1.0002012930931876,1.0002248262888438,494.66,4.300000000000011,479.59081802960867,497.1071024486456,0.9996,-0.00039999999999995595,0.9998820849043459,0.9999075943774242
2022-01-16,43100.36,11.62000000000262,43448.58114332198,45151.83096185192,3349.61,20.980000000000018,3357.3981523361367,3536.317638474895,1.001,0.0009999999999998899,1.000324171078851,1.0002822465637442,498.67,4.009999999999991,482.5260767942843,497.22287263763485,1.0,0.00039999999999995595,0.9999002256882927,0.9999144392383557
2022-01-17,42224.38,-875.9800000000032,43260.24250588783,44934.98274245548,3210.9,-138.71000000000004,3334.859975053654,3512.2126282174954,1.001,0.0,1.0004281447590277,1.0003354134849483,475.45,-23.220000000000027,481.4374495951636,495.6100672570693,1.0,0.0,0.9999155755824015,0.9999207770725516
2022-01-18,42372.75,148.37000000000262,43123.7051972897,44745.187724495816,3161.5,-49.40000000000009,3308.1892096607844,3486.2339150161993,1.001,0.0,1.000516122488408,1.0003846421156928,471.43,-4.019999999999982,479.89784196513847,493.81895116395305,1.0,0.0,0.9999285639543397,0.9999266454375477
2022-01-19,41674.8,-697.9499999999971,42900.79670539898,44517.751596755385,3084.78,-76.7199999999998,3273.8185620206636,3456.4965879779625,1.0,-0.0009999999999998899,1.000436719028653,1.000356150107123,462.11,-9.319999999999993,477.1612508935787,491.4701399666232,1.0,0.0,0.9999395541152105,0.9999320791088405
2022-01-20,40697.03,-977.7700000000041,42561.75567379913,44234.73518218091,3002.43,-82.35000000000036,3232.066475555946,3422.862025905521,0.9998,-0.00019999999999997797,1.000338762255014,1.0003149538028917,440.34,-21.77000000000004,471.49644306379736,487.6827221913178,1.0,0.0,0.9999488534821012,0.9999371102859634
